Domain,Auth Protocol,Logon Type,Destination,Source,User,Date Time,Log File,Type,Event ID
horangi,Kerberos,3,SGBOSQL01,112.218.4.24,sqlservice,01/02/2016 00:00:02,t:\working_evd\SGBOSQL01\2016-05-12_212917\SGBOSQL01_evts.csv,Network,540
horangi,Kerberos,3,SGDISQLDEV,113.225.4.22,SGBOSQL01$,01/02/2016 00:00:10,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
horangi,Kerberos,3,SGDISQLDEV,113.225.4.22,SGBOSQL01$,01/02/2016 00:00:10,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
horangi,Kerberos,3,SGDISQLDEV,177.155.4.25,SGDB01$,01/02/2016 00:00:29,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
horangi,Kerberos,3,SGDISQLDEV,177.155.4.25,SGDB01$,01/02/2016 00:00:29,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
horangi,Kerberos,3,SGBOSQL01,177.155.4.25,SGDB01$,01/02/2016 00:01:28,t:\working_evd\SGBOSQL01\2016-05-12_212917\SGBOSQL01_evts.csv,Network,540
horangi,Kerberos,3,SGBOSQL01,112.218.4.24,sqlservice,01/02/2016 00:02:03,t:\working_evd\SGBOSQL01\2016-05-12_212917\SGBOSQL01_evts.csv,Network,540
horangi,Kerberos,3,SGDISQLDEV,113.225.4.22,SGBOSQL01$,01/02/2016 00:02:11,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
horangi,Kerberos,3,SGDISQLDEV,113.225.4.22,SGBOSQL01$,01/02/2016 00:02:11,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
horangi,Kerberos,3,SGDISQLDEV,177.155.4.25,SGDB01$,01/02/2016 00:02:30,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
horangi,Kerberos,3,SGDISQLDEV,177.155.4.25,SGDB01$,01/02/2016 00:02:30,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
horangi,Kerberos,3,SGBOSQL01,177.155.4.25,SGDB01$,01/02/2016 00:03:29,t:\working_evd\SGBOSQL01\2016-05-12_212917\SGBOSQL01_evts.csv,Network,540
horangi,Kerberos,3,SGBOSQL01,112.218.4.24,sqlservice,01/02/2016 00:04:04,t:\working_evd\SGBOSQL01\2016-05-12_212917\SGBOSQL01_evts.csv,Network,540
horangi,Kerberos,3,SGDISQLDEV,113.225.4.22,SGBOSQL01$,01/02/2016 00:04:12,t:\working_evd\SGdisqldev\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
horangi,Kerberos,3,SGDISQLDEV,113.225.4.22,SGBOSQL01$,01/02/2016 00:04:12,t:\working_evd\SGdisqldev\SGDISQLDEV\2016-05-10_183548\SGDISQLDEV_evts.csv,Network,540
