Impact,output-BillWeb-73,Severity,Title,"Bulletin
ID",output-Report-66,output-Gateway_Backup.76,output-MamWeb-70,output-MemDB-72,output-BillDB-75,Supersedes,output -WinJumpoff-68,output-BackUp-65,output-Mem&BillTest-95,Component KB,output-MemAPI-71,CVEs,Bulletin KB,"Date
Posted",Affected Component,Reboot,output-BillAPI-74,Affected Product
Security Bypass,False,Important,Security Update for Secure Boot,MS16-094,False,False,False,False,False,,False,False,False,3175677,False,CVE-2016-3287,3177404,2016-07-12,,Yes,False,Windows Server 2012
Security Bypass,False,Important,Security Update for Secure Boot,MS16-094,False,False,False,False,False,,False,False,False,3175677,False,CVE-2016-3287,3177404,2016-07-12,,Yes,False,Windows Server 2012 R2
Security Bypass,False,Important,Security Update for Secure Boot,MS16-094,False,False,False,False,False,,False,False,False,3175677,False,CVE-2016-3287,3177404,2016-07-12,,Yes,False,Windows Server 2012 (Server Core installation)
Security Bypass,False,Important,Security Update for Secure Boot,MS16-094,False,False,False,False,False,,False,False,False,3175677,False,CVE-2016-3287,3177404,2016-07-12,,Yes,False,Windows Server 2012 R2 (server core installation)
Remote Code Execution,False,Critical,Security Update for Adobe Flash Player,MS16-093,False,False,False,False,False,MS16-083[3167685],False,False,False,3174060,False,,3174060,2016-07-12,Adobe Flash Player,Yes,False,Windows Server 2012
Remote Code Execution,False,Critical,Security Update for Adobe Flash Player,MS16-093,False,False,False,False,False,MS16-083[3167685],False,False,False,3174060,False,,3174060,2016-07-12,Adobe Flash Player,Yes,False,Windows Server 2012 R2
Security Bypass,False,Important,Security Update for Windows Kernel,MS16-092,False,False,False,False,False,MS16-060[3153171],False,False,False,3170377,False,"CVE-2016-3258,CVE-2016-3272",3171910,2016-07-12,,Yes,False,Windows Server 2012
Security Bypass,False,Important,Security Update for Windows Kernel,MS16-092,False,False,False,False,False,MS16-060[3153171],False,False,False,3170377,False,"CVE-2016-3258,CVE-2016-3272",3171910,2016-07-12,,Yes,False,Windows Server 2012 R2
Security Bypass,False,Important,Security Update for Windows Kernel,MS16-092,False,False,False,False,False,MS16-060[3153171],False,False,False,3170377,False,"CVE-2016-3258,CVE-2016-3272",3171910,2016-07-12,,Yes,False,Windows Server 2012 (Server Core installation)
Security Bypass,False,Important,Security Update for Windows Kernel,MS16-092,False,False,False,False,False,MS16-060[3153171],False,False,False,3170377,False,"CVE-2016-3258,CVE-2016-3272",3171910,2016-07-12,,Yes,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for Windows Kernel,MS16-092,False,False,False,False,False,,False,False,False,3169704,False,"CVE-2016-3258,CVE-2016-3272",3171910,2016-07-12,,Yes,False,Windows Server 2012
Information Disclosure,False,Important,Security Update for Windows Kernel,MS16-092,False,False,False,False,False,,False,False,False,3169704,False,"CVE-2016-3258,CVE-2016-3272",3171910,2016-07-12,,Yes,False,Windows Server 2012 R2
Information Disclosure,False,Important,Security Update for Windows Kernel,MS16-092,False,False,False,False,False,,False,False,False,3169704,False,"CVE-2016-3258,CVE-2016-3272",3171910,2016-07-12,,Yes,False,Windows Server 2012 (Server Core installation)
Information Disclosure,False,Important,Security Update for Windows Kernel,MS16-092,False,False,False,False,False,,False,False,False,3169704,False,"CVE-2016-3258,CVE-2016-3272",3171910,2016-07-12,,Yes,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3163247,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 3.5,Maybe,False,Windows Server 2012 R2
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3163247,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 3.5,Maybe,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3163291,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 4.5.2,Maybe,False,Windows Server 2012 R2
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3163291,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 4.5.2,Maybe,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3164024,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 4.6/4.6.1,Maybe,False,Windows Server 2012 R2
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3164024,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 4.6/4.6.1,Maybe,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3163246,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 3.5,Maybe,False,Windows Server 2012
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3163246,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 3.5,Maybe,False,Windows Server 2012 (Server Core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3163250,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 4.5.2,Maybe,False,Windows Server 2012
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3163250,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 4.5.2,Maybe,False,Windows Server 2012 (Server Core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3164023,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 4.6/4.6.1,Maybe,False,Windows Server 2012
